epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.561,0.95662,1.75989,1.38152,0.4819,0.34842,0.28832,0.17001,1.37383,2.06441,1.86977,0.000208085,0.000208085,0.000208085
2,1084.93,1.06704,1.57623,1.45158,0.58919,0.30554,0.24747,0.15864,1.25108,1.90729,1.71608,0.000408173,0.000408173,0.000408173
3,1627.55,1.10592,1.61228,1.48085,0.5462,0.26536,0.25404,0.15112,1.30274,2.06551,1.76871,0.000600012,0.000600012,0.000600012
4,2175.27,1.07481,1.5068,1.4578,0.49936,0.34839,0.2891,0.185,1.25203,1.79089,1.69639,0.000587875,0.000587875,0.000587875
5,2725.21,1.03667,1.44373,1.43399,0.48254,0.39949,0.34856,0.23466,1.18126,1.62421,1.64845,0.0005755,0.0005755,0.0005755
6,3275.11,1.00779,1.37292,1.4074,0.54231,0.40498,0.35215,0.23369,1.15546,1.58195,1.60023,0.000563125,0.000563125,0.000563125
7,3824.5,0.99026,1.30586,1.39442,0.59526,0.39187,0.39693,0.27043,1.11509,1.57264,1.57504,0.00055075,0.00055075,0.00055075
8,4376.09,0.96665,1.26409,1.3803,0.49048,0.44109,0.41873,0.29492,1.11707,1.49469,1.58808,0.000538375,0.000538375,0.000538375
9,4929.65,0.93494,1.21804,1.35421,0.48513,0.41929,0.39717,0.28387,1.06363,1.42452,1.54399,0.000526,0.000526,0.000526
10,5474.17,0.91729,1.18213,1.33894,0.50645,0.42947,0.45593,0.33294,1.05505,1.37907,1.50731,0.000513625,0.000513625,0.000513625
11,6022.7,0.90153,1.13876,1.33145,0.56636,0.47077,0.50248,0.36158,1.06633,1.31446,1.52336,0.00050125,0.00050125,0.00050125
12,6572.42,0.87678,1.10161,1.30871,0.44438,0.54936,0.50193,0.36115,1.02363,1.31091,1.48119,0.000488875,0.000488875,0.000488875
13,7122.14,0.86693,1.07452,1.29897,0.6073,0.46315,0.46842,0.33962,1.04102,1.30617,1.50109,0.0004765,0.0004765,0.0004765
14,7671.51,0.85798,1.03116,1.29869,0.69152,0.48582,0.55621,0.41263,0.98066,1.22074,1.43324,0.000464125,0.000464125,0.000464125
15,8221.12,0.85067,1.01924,1.28528,0.43585,0.568,0.50555,0.36037,1.02472,1.25019,1.47463,0.00045175,0.00045175,0.00045175
16,8770.1,0.84129,1.0125,1.28305,0.69844,0.52669,0.57231,0.39967,0.9832,1.2428,1.4547,0.000439375,0.000439375,0.000439375
17,9318.44,0.81304,0.96172,1.26488,0.55364,0.54844,0.57377,0.42327,0.96229,1.19348,1.42493,0.000427,0.000427,0.000427
18,9866.34,0.81832,0.95991,1.27063,0.63553,0.57023,0.60833,0.44504,0.96481,1.15958,1.41371,0.000414625,0.000414625,0.000414625
19,10415.8,0.81855,0.9437,1.26838,0.73798,0.4799,0.60138,0.4355,0.94571,1.13048,1.41146,0.00040225,0.00040225,0.00040225
20,10965.9,0.78805,0.91415,1.25328,0.57741,0.571,0.59972,0.44687,0.9353,1.12494,1.40359,0.000389875,0.000389875,0.000389875
21,11515.8,0.80751,0.8985,1.25874,0.70657,0.56192,0.63546,0.45925,0.93876,1.14916,1.40102,0.0003775,0.0003775,0.0003775
22,12064.8,0.77432,0.8629,1.23766,0.63077,0.59229,0.60054,0.43274,0.922,1.09486,1.39084,0.000365125,0.000365125,0.000365125
23,12613.6,0.76946,0.85642,1.23252,0.52655,0.6045,0.58638,0.45886,0.89722,1.10158,1.35972,0.00035275,0.00035275,0.00035275
24,13162.3,0.75624,0.84308,1.22437,0.62914,0.56883,0.61084,0.46296,0.89821,1.10369,1.37076,0.000340375,0.000340375,0.000340375
25,13711.7,0.74929,0.82508,1.21925,0.71133,0.56846,0.65173,0.49444,0.88974,1.07354,1.36778,0.000328,0.000328,0.000328
26,14261.7,0.74166,0.79234,1.21405,0.67654,0.54333,0.63423,0.48639,0.8816,1.04838,1.35243,0.000315625,0.000315625,0.000315625
27,14811.6,0.74039,0.78783,1.21339,0.54744,0.6487,0.63919,0.4747,0.89592,1.07708,1.35266,0.00030325,0.00030325,0.00030325
28,15360.3,0.73326,0.76891,1.1992,0.702,0.58792,0.66397,0.49832,0.88223,1.02945,1.34983,0.000290875,0.000290875,0.000290875
29,15911.6,0.72304,0.76718,1.19191,0.69346,0.58421,0.64876,0.49564,0.87882,1.03839,1.34212,0.0002785,0.0002785,0.0002785
30,16460.7,0.71762,0.74404,1.19601,0.63867,0.64227,0.6414,0.49157,0.88053,1.06003,1.33957,0.000266125,0.000266125,0.000266125
31,17009.1,0.71252,0.7295,1.18771,0.58079,0.62972,0.63348,0.48737,0.87313,0.99524,1.35702,0.00025375,0.00025375,0.00025375
32,17558.8,0.70958,0.71403,1.18885,0.78084,0.54512,0.67952,0.52291,0.87192,0.98702,1.34269,0.000241375,0.000241375,0.000241375
33,18109,0.6942,0.71389,1.17686,0.68291,0.61626,0.6771,0.50953,0.8734,1.01532,1.35323,0.000229,0.000229,0.000229
34,18659.5,0.68849,0.67571,1.1766,0.67474,0.6227,0.69553,0.53443,0.85609,1.00532,1.32539,0.000216625,0.000216625,0.000216625
35,19211.2,0.67123,0.68476,1.16744,0.68061,0.59977,0.64697,0.49311,0.88654,1.02105,1.35487,0.00020425,0.00020425,0.00020425
36,19761.3,0.66637,0.67077,1.16947,0.7084,0.62431,0.68653,0.52891,0.8668,0.98271,1.3364,0.000191875,0.000191875,0.000191875
37,20309.9,0.67637,0.65948,1.16649,0.73808,0.58545,0.66131,0.51522,0.86621,1.01801,1.34417,0.0001795,0.0001795,0.0001795
38,20856.5,0.67186,0.63412,1.15939,0.70258,0.63519,0.68069,0.52606,0.86305,1.02223,1.33644,0.000167125,0.000167125,0.000167125
